Country,Total_re_export,Year,ReExport
Romania,40020000,2002,60000
Slovakia,373020000,2002,1500000
Slovenia,94440000,2002,720000
Spain,2277480000,2002,69960000
Sweden,652260000,2002,14340000
Japan,134760000,2002,5940000
Norway,16260000,2002,360000
Russian Federation,609840000,2002,3180000
Switzerland,1485780000,2002,26520000
Tunisia,3660000,2002,60000
United Kingdom,1734120000,2002,46680000
United States of America,4526640000,2002,131520000
Austria,869220000,2003,37200000
Belgium,4779780000,2003,134280000
Belgium/Luxembourg,742860000,2003,0
Bulgaria,205620000,2003,180000
Croatia,57900000,2003,1020000
Cyprus,7980000,2003,360000
Czechia,674640000,2003,21060000
Denmark,289800000,2003,16680000
Estonia,93240000,2003,1140000
Finland,284400000,2003,7320000
France,2063880000,2003,79680000
Germany,14558880000,2003,391080000
Greece,187260000,2003,4140000
Hungary,436740000,2003,13080000
Ireland,61080000,2003,4500000
Italy,3678600000,2003,84600000
Latvia,79380000,2003,1620000
Lithuania,184500000,2003,2880000
Luxembourg,152580000,2003,5940000
Malta,1140000,2003,0
Netherlands,2527200000,2003,85980000
Poland,1525740000,2003,25320000
Portugal,256740000,2003,6600000
Romania,40020000,2003,0
Slovakia,373020000,2003,1020000
Slovenia,94440000,2003,600000
Spain,2277480000,2003,81900000
Sweden,652260000,2003,15420000
Japan,134760000,2003,8220000
Norway,16260000,2003,480000
Russian Federation,609840000,2003,5580000
Switzerland,1485780000,2003,25380000
Tunisia,3660000,2003,180000
United Kingdom,1734120000,2003,45540000
United States of America,4526640000,2003,167880000
Austria,869220000,2004,32580000
Belgium,4779780000,2004,154320000
Belgium/Luxembourg,742860000,2004,0
Bulgaria,205620000,2004,180000
Croatia,57900000,2004,1080000
Cyprus,7980000,2004,420000
Czechia,674640000,2004,19440000
Denmark,289800000,2004,16260000
Estonia,93240000,2004,2820000
Finland,284400000,2004,7740000
France,2063880000,2004,62400000
Germany,14558880000,2004,420660000
Greece,187260000,2004,4260000
Hungary,436740000,2004,16200000
Ireland,61080000,2004,2160000
Italy,3678600000,2004,93540000
Latvia,79380000,2004,1980000
Lithuania,184500000,2004,3540000
Luxembourg,152580000,2004,5700000
Malta,1140000,2004,0
Netherlands,2527200000,2004,70860000
Poland,1525740000,2004,24360000
Portugal,256740000,2004,4980000
Romania,40020000,2004,600000
Slovakia,373020000,2004,900000
Slovenia,94440000,2004,660000
Spain,2277480000,2004,86220000
Sweden,652260000,2004,15720000
Japan,134760000,2004,5220000
Norway,16260000,2004,420000
Russian Federation,609840000,2004,7740000
Switzerland,1485780000,2004,30720000
Tunisia,3660000,2004,60000
United Kingdom,1734120000,2004,50280000
United States of America,4526640000,2004,157560000
Austria,869220000,2005,48360000
Belgium,4779780000,2005,174300000
Belgium/Luxembourg,742860000,2005,0
Bulgaria,205620000,2005,660000
Croatia,57900000,2005,1080000
Cyprus,7980000,2005,540000
Czechia,674640000,2005,24420000
Denmark,289800000,2005,11940000
Estonia,93240000,2005,4560000
Finland,284400000,2005,3240000
France,2063880000,2005,61680000
Germany,14558880000,2005,501360000
Greece,187260000,2005,3600000
Hungary,436740000,2005,16920000
Ireland,61080000,2005,1800000
Italy,3678600000,2005,102480000
Latvia,79380000,2005,2820000
Lithuania,184500000,2005,5400000
Luxembourg,152580000,2005,6240000
Malta,1140000,2005,0
Netherlands,2527200000,2005,63660000
Poland,1525740000,2005,31440000
Portugal,256740000,2005,6420000
Romania,40020000,2005,1020000
Slovakia,373020000,2005,840000
Slovenia,94440000,2005,540000
Spain,2277480000,2005,87180000
Sweden,652260000,2005,31380000
Japan,134760000,2005,3780000
Norway,16260000,2005,600000
Russian Federation,609840000,2005,9060000
Switzerland,1485780000,2005,34020000
Tunisia,3660000,2005,0
United Kingdom,1734120000,2005,53100000
United States of America,4526640000,2005,147120000
Austria,869220000,2006,59460000
Belgium,4779780000,2006,184020000
Belgium/Luxembourg,742860000,2006,0
Bulgaria,205620000,2006,840000
Croatia,57900000,2006,1080000
Cyprus,7980000,2006,1080000
Czechia,674640000,2006,18540000
Denmark,289800000,2006,10920000
Estonia,93240000,2006,5220000
Finland,284400000,2006,7260000
France,2063880000,2006,57420000
Germany,14558880000,2006,550620000
Greece,187260000,2006,2460000
Hungary,436740000,2006,18180000
Ireland,61080000,2006,3120000
Italy,3678600000,2006,116280000
Latvia,79380000,2006,2400000
Lithuania,184500000,2006,6180000
Luxembourg,152580000,2006,6120000
Malta,1140000,2006,0
Netherlands,2527200000,2006,69840000
Poland,1525740000,2006,39660000
Portugal,256740000,2006,6840000
Romania,40020000,2006,1140000
Slovakia,373020000,2006,3960000
Slovenia,94440000,2006,660000
Spain,2277480000,2006,87660000
Sweden,652260000,2006,30300000
Japan,134760000,2006,2820000
Norway,16260000,2006,600000
Russian Federation,609840000,2006,14640000
Switzerland,1485780000,2006,37260000
Tunisia,3660000,2006,540000
United Kingdom,1734120000,2006,56940000
United States of America,4526640000,2006,163260000
Austria,869220000,2007,67200000
Belgium,4779780000,2007,174660000
Belgium/Luxembourg,742860000,2007,0
Bulgaria,205620000,2007,1740000
Croatia,57900000,2007,1620000
Cyprus,7980000,2007,120000
Czechia,674640000,2007,21480000
Denmark,289800000,2007,12060000
Estonia,93240000,2007,10560000
Finland,284400000,2007,9000000
France,2063880000,2007,54060000
Germany,14558880000,2007,641820000
Greece,187260000,2007,3960000
Hungary,436740000,2007,22260000
Ireland,61080000,2007,1020000
Italy,3678600000,2007,131280000
Latvia,79380000,2007,1200000
Lithuania,184500000,2007,6300000
Luxembourg,152580000,2007,6540000
Malta,1140000,2007,0
Netherlands,2527200000,2007,74340000
Poland,1525740000,2007,42540000
Portugal,256740000,2007,9120000
Romania,40020000,2007,960000
Slovakia,373020000,2007,9120000
Slovenia,94440000,2007,600000
Spain,2277480000,2007,91200000
Sweden,652260000,2007,31500000
Japan,134760000,2007,5220000
Norway,16260000,2007,480000
Russian Federation,609840000,2007,20400000
Switzerland,1485780000,2007,50520000
Tunisia,3660000,2007,0
United Kingdom,1734120000,2007,59340000
United States of America,4526640000,2007,162420000
Austria,869220000,2008,59520000
Belgium,4779780000,2008,368520000
Belgium/Luxembourg,742860000,2008,0
Bulgaria,205620000,2008,4320000
Croatia,57900000,2008,1680000
Cyprus,7980000,2008,0
Czechia,674640000,2008,24960000
Denmark,289800000,2008,12720000
Estonia,93240000,2008,10860000
Finland,284400000,2008,10200000
France,2063880000,2008,57840000
Germany,14558880000,2008,628260000
Greece,187260000,2008,4680000
Hungary,436740000,2008,19020000
Ireland,61080000,2008,960000
Italy,3678600000,2008,136620000
Latvia,79380000,2008,2340000
Lithuania,184500000,2008,11220000
Luxembourg,152580000,2008,6780000
Malta,1140000,2008,0
Netherlands,2527200000,2008,58860000
Poland,1525740000,2008,46740000
Portugal,256740000,2008,8940000
Romania,40020000,2008,1140000
Slovakia,373020000,2008,16200000
Slovenia,94440000,2008,660000
Spain,2277480000,2008,86460000
Sweden,652260000,2008,31920000
Japan,134760000,2008,10740000
Norway,16260000,2008,420000
Russian Federation,609840000,2008,25260000
Switzerland,1485780000,2008,52980000
Tunisia,3660000,2008,0
United Kingdom,1734120000,2008,54000000
United States of America,4526640000,2008,171660000
Austria,869220000,2009,24900000
Belgium,4779780000,2009,298860000
Belgium/Luxembourg,742860000,2009,0
Bulgaria,205620000,2009,6840000
Croatia,57900000,2009,1680000
Cyprus,7980000,2009,0
Czechia,674640000,2009,24300000
Denmark,289800000,2009,11040000
Estonia,93240000,2009,14040000
Finland,284400000,2009,11100000
France,2063880000,2009,60840000
Germany,14558880000,2009,649140000
Greece,187260000,2009,4320000
Hungary,436740000,2009,15540000
Ireland,61080000,2009,480000
Italy,3678600000,2009,136320000
Latvia,79380000,2009,2640000
Lithuania,184500000,2009,12060000
Luxembourg,152580000,2009,6480000
Malta,1140000,2009,0
Netherlands,2527200000,2009,96240000
Poland,1525740000,2009,69660000
Portugal,256740000,2009,9960000
Romania,40020000,2009,2220000
Slovakia,373020000,2009,14760000
Slovenia,94440000,2009,720000
Spain,2277480000,2009,86700000
Sweden,652260000,2009,31560000
Japan,134760000,2009,7560000
Norway,16260000,2009,540000
Russian Federation,609840000,2009,26400000
Switzerland,1485780000,2009,63960000
Tunisia,3660000,2009,0
United Kingdom,1734120000,2009,53520000
United States of America,4526640000,2009,168120000
Austria,869220000,2010,27780000
Belgium,4779780000,2010,303180000
Belgium/Luxembourg,742860000,2010,0
Bulgaria,205620000,2010,7980000
Croatia,57900000,2010,1440000
Cyprus,7980000,2010,120000
Czechia,674640000,2010,28860000
Denmark,289800000,2010,12480000
Estonia,93240000,2010,9480000
Finland,284400000,2010,11580000
France,2063880000,2010,63600000
Germany,14558880000,2010,692520000
Greece,187260000,2010,4080000
Hungary,436740000,2010,21060000
Ireland,61080000,2010,480000
Italy,3678600000,2010,146760000
Latvia,79380000,2010,2340000
Lithuania,184500000,2010,9180000
Luxembourg,152580000,2010,7020000
Malta,1140000,2010,0
Netherlands,2527200000,2010,74160000
Poland,1525740000,2010,67380000
Portugal,256740000,2010,11820000
Romania,40020000,2010,2580000
Slovakia,373020000,2010,19080000
Slovenia,94440000,2010,780000
Spain,2277480000,2010,108180000
Sweden,652260000,2010,30300000
Japan,134760000,2010,8580000
Norway,16260000,2010,840000
Russian Federation,609840000,2010,27300000
Switzerland,1485780000,2010,78780000
Tunisia,3660000,2010,180000
United Kingdom,1734120000,2010,71580000
United States of America,4526640000,2010,191460000
Austria,869220000,2011,21900000
Belgium,4779780000,2011,293640000
Belgium/Luxembourg,742860000,2011,0
Bulgaria,205620000,2011,7320000
Croatia,57900000,2011,1440000
Cyprus,7980000,2011,0
Czechia,674640000,2011,22800000
Denmark,289800000,2011,8820000
Estonia,93240000,2011,6000000
Finland,284400000,2011,11640000
France,2063880000,2011,62580000
Germany,14558880000,2011,700980000
Greece,187260000,2011,7920000
Hungary,436740000,2011,27600000
Ireland,61080000,2011,1800000
Italy,3678600000,2011,159780000
Latvia,79380000,2011,2400000
Lithuania,184500000,2011,6540000
Luxembourg,152580000,2011,6660000
Malta,1140000,2011,60000
Netherlands,2527200000,2011,106140000
Poland,1525740000,2011,82200000
Portugal,256740000,2011,12600000
Romania,40020000,2011,2520000
Slovakia,373020000,2011,23340000
Slovenia,94440000,2011,900000
Spain,2277480000,2011,100320000
Sweden,652260000,2011,31320000
Japan,134760000,2011,4800000
Norway,16260000,2011,600000
Russian Federation,609840000,2011,27780000
Switzerland,1485780000,2011,84840000
Tunisia,3660000,2011,780000
United Kingdom,1734120000,2011,75840000
United States of America,4526640000,2011,223680000
Austria,869220000,2012,18240000
Belgium,4779780000,2012,285240000
Belgium/Luxembourg,742860000,2012,0
Bulgaria,205620000,2012,11040000
Croatia,57900000,2012,1440000
Cyprus,7980000,2012,60000
Czechia,674640000,2012,26460000
Denmark,289800000,2012,6780000
Estonia,93240000,2012,3180000
Finland,284400000,2012,9360000
France,2063880000,2012,61140000
Germany,14558880000,2012,755400000
Greece,187260000,2012,10080000
Hungary,436740000,2012,29760000
Ireland,61080000,2012,2220000
Italy,3678600000,2012,177840000
Latvia,79380000,2012,3360000
Lithuania,184500000,2012,8580000
Luxembourg,152580000,2012,6660000
Malta,1140000,2012,0
Netherlands,2527200000,2012,80820000
Poland,1525740000,2012,96420000
Portugal,256740000,2012,13680000
Romania,40020000,2012,3240000
Slovakia,373020000,2012,34260000
Slovenia,94440000,2012,2160000
Spain,2277480000,2012,99540000
Sweden,652260000,2012,31200000
Japan,134760000,2012,4260000
Norway,16260000,2012,720000
Russian Federation,609840000,2012,28740000
Switzerland,1485780000,2012,85500000
Tunisia,3660000,2012,1080000
United Kingdom,1734120000,2012,72000000
United States of America,4526640000,2012,203040000
Austria,869220000,2013,18660000
Belgium,4779780000,2013,255420000
Belgium/Luxembourg,742860000,2013,0
Bulgaria,205620000,2013,11460000
Croatia,57900000,2013,1560000
Cyprus,7980000,2013,120000
Czechia,674640000,2013,32760000
Denmark,289800000,2013,5940000
Estonia,93240000,2013,2160000
Finland,284400000,2013,10860000
France,2063880000,2013,60840000
Germany,14558880000,2013,721200000
Greece,187260000,2013,10140000
Hungary,436740000,2013,22860000
Ireland,61080000,2013,2280000
Italy,3678600000,2013,190980000
Latvia,79380000,2013,3960000
Lithuania,184500000,2013,9900000
Luxembourg,152580000,2013,8220000
Malta,1140000,2013,0
Netherlands,2527200000,2013,106860000
Poland,1525740000,2013,96900000
Portugal,256740000,2013,12720000
Romania,40020000,2013,4800000
Slovakia,373020000,2013,28200000
Slovenia,94440000,2013,4440000
Spain,2277480000,2013,98160000
Sweden,652260000,2013,32040000
Japan,134760000,2013,5520000
Norway,16260000,2013,1080000
Russian Federation,609840000,2013,45720000
Switzerland,1485780000,2013,92820000
Tunisia,3660000,2013,600000
United Kingdom,1734120000,2013,82800000
United States of America,4526640000,2013,194880000
Austria,869220000,2014,23160000
Belgium,4779780000,2014,237180000
Belgium/Luxembourg,742860000,2014,0
Bulgaria,205620000,2014,14640000
Croatia,57900000,2014,3060000
Cyprus,7980000,2014,480000
Czechia,674640000,2014,49500000
Denmark,289800000,2014,6300000
Estonia,93240000,2014,840000
Finland,284400000,2014,10980000
France,2063880000,2014,65820000
Germany,14558880000,2014,774660000
Greece,187260000,2014,8760000
Hungary,436740000,2014,26040000
Ireland,61080000,2014,2160000
Italy,3678600000,2014,208140000
Latvia,79380000,2014,6180000
Lithuania,184500000,2014,10380000
Luxembourg,152580000,2014,9480000
Malta,1140000,2014,0
Netherlands,2527200000,2014,132960000
Poland,1525740000,2014,124740000
Portugal,256740000,2014,13620000
Romania,40020000,2014,2760000
Slovakia,373020000,2014,25260000
